game,number,coord,player
0bbd784b-eb0b-4b0b-8220-1bbaec6b8d8b,1,"[0, 0]",whacker
0bbd784b-eb0b-4b0b-8220-1bbaec6b8d8b,2,"[0, 1]",huy
0bbd784b-eb0b-4b0b-8220-1bbaec6b8d8b,3,"[1, 0]",whacker
0bbd784b-eb0b-4b0b-8220-1bbaec6b8d8b,4,"[1, 1]",huy
0bbd784b-eb0b-4b0b-8220-1bbaec6b8d8b,5,"[2, 0]",whacker
19dc2026-aa4a-4278-830a-db9eed42078b,1,"[0, 0]",vincent
19dc2026-aa4a-4278-830a-db9eed42078b,2,"[0, 1]",huy
19dc2026-aa4a-4278-830a-db9eed42078b,3,"[1, 0]",vincent
19dc2026-aa4a-4278-830a-db9eed42078b,4,"[1, 1]",huy
19dc2026-aa4a-4278-830a-db9eed42078b,5,"[1, 2]",vincent
19dc2026-aa4a-4278-830a-db9eed42078b,6,"[2, 1]",huy
e1727fb8-0e0b-4930-b93a-529054834cd3,1,"[0, 0]",mindy
e1727fb8-0e0b-4930-b93a-529054834cd3,2,"[0, 1]",diep
e1727fb8-0e0b-4930-b93a-529054834cd3,3,"[1, 0]",mindy
e1727fb8-0e0b-4930-b93a-529054834cd3,4,"[1, 1]",diep
e1727fb8-0e0b-4930-b93a-529054834cd3,5,"[2, 0]",mindy
75bd119b-a95a-42c6-96b2-6788a8cff1f1,1,"[0, 0]",mindy
75bd119b-a95a-42c6-96b2-6788a8cff1f1,2,"[0, 1]",diep
75bd119b-a95a-42c6-96b2-6788a8cff1f1,3,"[1, 0]",mindy
75bd119b-a95a-42c6-96b2-6788a8cff1f1,4,"[1, 1]",diep
75bd119b-a95a-42c6-96b2-6788a8cff1f1,5,"[1, 2]",mindy
75bd119b-a95a-42c6-96b2-6788a8cff1f1,6,"[2, 1]",diep
1ceae927-63ad-42d2-b598-f27e1790a9b0,1,"[0, 0]",nice
1ceae927-63ad-42d2-b598-f27e1790a9b0,2,"[0, 1]",what
1ceae927-63ad-42d2-b598-f27e1790a9b0,3,"[0, 2]",nice
1ceae927-63ad-42d2-b598-f27e1790a9b0,4,"[1, 1]",what
1ceae927-63ad-42d2-b598-f27e1790a9b0,5,"[1, 2]",nice
1ceae927-63ad-42d2-b598-f27e1790a9b0,6,"[2, 1]",what
8d96e171-ade1-4aef-b29f-4aab01f33708,1,"[0, 0]",whacker
8d96e171-ade1-4aef-b29f-4aab01f33708,2,"[0, 1]",huy
8d96e171-ade1-4aef-b29f-4aab01f33708,3,"[1, 1]",whacker
8d96e171-ade1-4aef-b29f-4aab01f33708,4,"[1, 2]",huy
8d96e171-ade1-4aef-b29f-4aab01f33708,5,"[2, 2]",whacker
464887bb-f8db-4aaf-8478-e30254c2d39d,1,"[0, 0]",huy
464887bb-f8db-4aaf-8478-e30254c2d39d,2,"[0, 1]",whacker
464887bb-f8db-4aaf-8478-e30254c2d39d,3,"[1, 0]",huy
464887bb-f8db-4aaf-8478-e30254c2d39d,4,"[0, 2]",whacker
464887bb-f8db-4aaf-8478-e30254c2d39d,5,"[2, 0]",huy
84c79458-8abd-480b-9bea-4ffe8465a998,1,"[0, 2]",keegan
84c79458-8abd-480b-9bea-4ffe8465a998,2,"[1, 1]",vincent
84c79458-8abd-480b-9bea-4ffe8465a998,3,"[2, 0]",keegan
84c79458-8abd-480b-9bea-4ffe8465a998,4,"[1, 0]",vincent
84c79458-8abd-480b-9bea-4ffe8465a998,5,"[1, 2]",keegan
84c79458-8abd-480b-9bea-4ffe8465a998,6,"[0, 0]",vincent
84c79458-8abd-480b-9bea-4ffe8465a998,7,"[2, 2]",keegan
c303bcef-3092-41d1-9d75-93dbf469c687,1,"[0, 0]",vincent
c303bcef-3092-41d1-9d75-93dbf469c687,2,"[0, 1]",keegan
c303bcef-3092-41d1-9d75-93dbf469c687,3,"[1, 0]",vincent
c303bcef-3092-41d1-9d75-93dbf469c687,4,"[1, 1]",keegan
c303bcef-3092-41d1-9d75-93dbf469c687,5,"[2, 0]",vincent
a493a816-600e-48d6-8689-70167d1092fa,1,"[0, 0]",vincent
a493a816-600e-48d6-8689-70167d1092fa,2,"[0, 1]",kegan
a493a816-600e-48d6-8689-70167d1092fa,3,"[1, 0]",vincent
a493a816-600e-48d6-8689-70167d1092fa,4,"[1, 1]",kegan
a493a816-600e-48d6-8689-70167d1092fa,5,"[2, 0]",vincent
